permadiff_col1,permadiff_col2,permadiff_col3,permadiff_col4,permadiff_col5,ie_col1,ie_col2,ie_col3,ie_col4,ie_col5
0.152,0.0499,0.00317,0.0011,1.12,0.00332,0.00061,0.00051,0.0003,8.21
0.901,0.298,0.398,0.161,6.68,0.0125,0.00052,0.001,0.00012,92.4
0.923,0.303,0.00455,0.0013,5.3,0.00712,0.00083,0.00117,0.00036,54.6
0.00088,0.00127,0.00451,0.00094,4.32,0.00355,0.00035,0.00132,0.00025,74.2
0.953,0.306,0.0718,0.0178,132.0,0.0289,0.00075,0.00223,0.00027,291.0
0.165,0.116,0.00325,0.00167,0.871,0.00213,0.00051,0.00043,0.00025,8.69
0.00144,0.00076,0.00021,8e-05,0.0565,0.00172,0.00042,0.00048,0.00026,1.12
0.233,0.208,2.149,1.379,0.736,0.1218,0.00156,0.01179,0.00145,582.0
0.00814,0.0143,0.00321,0.00223,4.56,0.00273,0.00039,0.0003,8e-05,13.5
0.0109,0.00165,0.00996,0.00292,0.318,0.00576,0.00075,0.00055,0.00022,33.9
0.921,0.302,0.00721,0.00299,24.9,0.00922,0.00213,0.00128,0.00084,23.1
0.916,0.301,0.00466,0.00179,25.1,0.00509,0.00128,0.00106,0.00025,37.2
0.221,0.0856,0.01283,0.00418,0.931,0.01095,0.00137,0.00087,0.00035,44.0
0.141,0.301,0.01455,0.0045,5.85,0.01028,0.00051,0.00188,0.00023,101.0
0.893,0.309,0.234,0.347,52.3,0.02901,0.00089,0.00288,0.00098,339.0
0.0008,0.00049,0.00046,0.0006,0.214,0.00212,0.00042,0.00047,0.00023,20.1
0.52,0.498,0.26877,0.10503,66.5,0.07131,0.00232,0.01013,0.00093,1120.0
0.00118,0.00068,0.00036,0.00031,0.0733,0.00209,0.00082,0.00043,0.00031,5.83
